City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Georgetown,MY,2022-12-24 18:29:02,5.4112,100.3354,80.53,79,20,5.75
116,Uruzgan,AF,2022-12-24 18:36:16,32.8333,66.0,39.02,42,100,1.63
117,Pangai,TO,2022-12-24 18:36:17,-19.8,-174.35,80.71,74,20,12.66
118,Oistins,BB,2022-12-24 18:36:01,13.0667,-59.5333,82.49,69,40,24.16
119,Bluff,NZ,2022-12-24 18:36:17,-46.6,168.3333,53.67,88,78,9.04
120,Melito Di Porto Salvo,IT,2022-12-24 18:36:18,37.9222,15.7714,64.54,82,100,12.66
121,Takaka,NZ,2022-12-24 18:34:08,-40.85,172.8,58.55,61,17,0.89
122,San Antonio,US,2022-12-24 18:35:44,29.4241,-98.4936,39.97,25,0,4.61
123,Norman Wells,CA,2022-12-24 18:28:11,65.282,-126.8329,-29.16,75,100,5.75
124,Sinnamary,GF,2022-12-24 18:30:20,5.3833,-52.95,78.21,85,33,11.05
125,Arraial Do Cabo,BR,2022-12-24 18:36:19,-22.9661,-42.0278,78.76,69,75,18.41
126,San Cataldo,IT,2022-12-24 18:36:19,37.4841,13.9854,55.87,72,100,4.83
127,Viedma,AR,2022-12-24 18:36:20,-40.8135,-62.9967,69.84,24,0,14.03
128,Malacampa,PH,2022-12-24 18:36:20,15.6483,120.4093,66.61,76,90,4.38
129,Balakliya,UA,2022-12-24 18:33:03,49.4627,36.8595,41.11,90,100,6.31
130,Alofi,NU,2022-12-24 18:29:00,-19.0595,-169.9187,75.09,94,4,3.44
131,Labuhan,ID,2022-12-24 18:36:21,-6.8844,112.2051,78.39,83,100,11.9
132,Chitipa,MW,2022-12-24 18:36:21,-9.7024,33.2697,64.65,93,100,0.96
133,Lavrentiya,RU,2022-12-24 18:26:30,65.5833,-171.0,6.17,92,7,11.45
134,Ancud,CL,2022-12-24 18:36:22,-41.8697,-73.8203,65.5,57,82,6.38
135,Isangel,VU,2022-12-24 18:27:55,-19.55,169.2667,78.01,81,88,5.01
136,Pringsewu,ID,2022-12-24 18:37:22,-5.3582,104.9744,72.43,96,100,3.29
137,Severo-Kurilsk,RU,2022-12-24 18:37:23,50.6789,156.125,34.47,97,100,32.21
138,Lulea,SE,2022-12-24 18:37:24,65.5842,22.1547,17.67,93,4,5.75
139,Malpe,IN,2022-12-24 18:37:24,13.35,74.7167,74.5,65,93,4.32
140,Harper,LR,2022-12-24 18:37:24,4.375,-7.7169,80.78,75,95,8.66
141,Provideniya,RU,2022-12-24 18:37:25,64.3833,-173.3,15.69,73,0,12.86
142,Dingle,PH,2022-12-24 18:37:25,10.9995,122.6711,73.9,86,68,12.64
143,Necochea,AR,2022-12-24 18:37:26,-38.5473,-58.7368,60.73,56,100,19.86
144,Khatanga,RU,2022-12-24 18:27:43,71.9667,102.5,-10.82,91,100,4.52
145,Manuk Mangkaw,PH,2022-12-24 18:37:26,4.8,119.85,80.58,79,100,15.3
146,Cidreira,BR,2022-12-24 18:37:27,-30.1811,-50.2056,75.69,72,41,17.72
147,Emba,KZ,2022-12-24 18:37:27,48.8264,58.1442,11.5,75,0,6.53
148,Keuruu,FI,2022-12-24 18:37:28,62.2667,24.7,28.58,92,10,7.67
149,Kangalassy,RU,2022-12-24 18:37:28,62.3464,129.9628,-13.07,93,100,6.31
150,Kotka,FI,2022-12-24 18:37:29,60.4664,26.9458,25.86,90,8,9.69
151,Westport,US,2022-12-24 18:37:29,41.1415,-73.3579,16.81,50,40,11.5
152,Sadao,TH,2022-12-24 18:37:30,6.6388,100.4234,76.55,81,100,7.07
153,Atbasar,KZ,2022-12-24 18:37:30,51.8,68.3333,12.36,85,67,9.44
154,Menongue,AO,2022-12-24 18:37:30,-14.6585,17.691,66.81,79,95,3.2
155,Mao,ES,2022-12-24 18:37:31,39.8885,4.2658,59.56,100,20,4.61
156,Tuatapere,NZ,2022-12-24 18:37:32,-46.1333,167.6833,55.58,83,78,6.04
157,Bambous Virieux,MU,2022-12-24 18:37:33,-20.3428,57.7575,79.21,78,40,8.05
158,Bethel,US,2022-12-24 18:30:31,41.3712,-73.414,15.49,53,0,13.8
159,Merauke,ID,2022-12-24 18:37:33,-8.4667,140.3333,78.46,89,100,8.75
160,Bertoua,CM,2022-12-24 18:37:34,4.5833,13.6833,75.63,33,67,2.3
161,Laguna,US,2022-12-24 18:33:07,38.421,-121.4238,57.09,96,100,3.44
162,Thompson,CA,2022-12-24 18:37:35,55.7435,-97.8558,-11.04,64,20,8.05
163,Ilfracombe,GB,2022-12-24 18:37:35,51.2093,-4.1134,51.85,91,67,10.0
164,Guaymas,MX,2022-12-24 18:37:35,27.9333,-110.9,73.89,27,0,9.22
165,Vardo,NO,2022-12-24 18:37:36,70.3705,31.1107,26.58,80,100,5.75
166,Puerto Ayora,EC,2022-12-24 18:37:36,-0.7393,-90.3518,82.36,87,61,5.01
167,Port Lincoln,AU,2022-12-24 18:37:37,-34.7333,135.8667,58.96,77,0,1.34
168,Marau,BR,2022-12-24 18:37:38,-28.4492,-52.2,85.95,24,100,4.34
169,Saquarema,BR,2022-12-24 18:37:38,-22.92,-42.5103,78.94,78,39,14.88
170,Mount Gambier,AU,2022-12-24 18:37:39,-37.8333,140.7667,48.4,91,0,3.09
171,Ukrayinka,UA,2022-12-24 18:37:40,47.9167,35.35,41.95,95,99,6.51
172,Ife,NG,2022-12-24 18:37:41,7.4667,4.5667,75.52,35,18,2.71
173,Caravelas,BR,2022-12-24 18:30:33,-17.7125,-39.2481,71.44,97,100,3.67
174,Egvekinot,RU,2022-12-24 18:37:41,66.3167,-179.1667,12.99,65,2,16.15
175,Pontes E Lacerda,BR,2022-12-24 18:37:42,-15.2261,-59.3353,87.69,59,94,2.66
176,Birjand,IR,2022-12-24 18:37:42,32.8663,59.2211,41.47,70,40,13.8
177,East London,ZA,2022-12-24 18:37:43,-33.0153,27.9116,65.34,100,100,16.11
178,Inuvik,CA,2022-12-24 18:37:43,68.3499,-133.7218,-26.54,68,0,8.05
179,Zemio,CF,2022-12-24 18:37:44,5.0314,25.1361,75.7,37,41,1.81
180,Keti Bandar,PK,2022-12-24 18:29:10,24.1447,67.4497,69.35,30,6,4.76
