City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Avera,US,2022-12-25 00:35:42,33.194,-82.5271,26.38,38,13,12.64,few clouds
150,Saskylakh,RU,2022-12-25 00:35:43,71.9167,114.0833,-24.38,99,46,7.0,scattered clouds
151,La Orilla,MX,2022-12-25 00:35:43,17.9833,-102.2333,76.44,80,36,6.13,scattered clouds
152,Belmonte,BR,2022-12-25 00:35:44,-15.8631,-38.8828,74.55,88,100,3.71,overcast clouds
153,Mattru,SL,2022-12-25 00:35:44,7.6244,-11.8332,71.6,81,1,1.68,clear sky
154,Georgetown,MY,2022-12-25 00:35:45,5.4112,100.3354,78.73,78,20,8.05,few clouds
155,Alofi,NU,2022-12-25 00:35:45,-19.0595,-169.9187,84.09,65,4,16.11,clear sky
156,Half Moon Bay,US,2022-12-25 00:35:46,37.4636,-122.4286,62.19,70,40,0.0,haze
157,San Cristobal,VE,2022-12-25 00:35:46,7.7669,-72.225,71.78,77,0,1.61,clear sky
158,Sistranda,NO,2022-12-25 00:35:46,63.7256,8.834,28.36,68,95,8.61,overcast clouds
159,Matara,LK,2022-12-25 00:35:47,5.9485,80.5353,75.52,87,100,10.25,overcast clouds
160,Souillac,MU,2022-12-25 00:35:47,-20.5167,57.5167,77.38,88,75,10.36,broken clouds
161,Qui Nhon,VN,2022-12-25 00:35:48,13.7667,109.2333,71.38,74,100,18.01,overcast clouds
162,Vila Velha,BR,2022-12-25 00:35:48,-20.3297,-40.2925,67.95,96,100,4.61,light rain
163,Biak,ID,2022-12-25 00:35:49,-0.9131,122.8766,81.7,73,100,1.25,overcast clouds
164,Waitati,NZ,2022-12-25 00:35:49,-45.75,170.5667,70.95,56,99,7.14,overcast clouds
165,San Rafael,AR,2022-12-25 00:35:50,-34.6177,-68.3301,68.95,26,100,8.46,overcast clouds
166,Salalah,OM,2022-12-25 00:35:50,17.0151,54.0924,75.29,78,40,2.3,scattered clouds
167,Victoria,HK,2022-12-25 00:30:54,22.2855,114.1577,60.24,60,6,5.99,clear sky
168,Ranot,TH,2022-12-25 00:35:51,7.7777,100.3213,78.24,72,100,11.48,overcast clouds
169,Airai,TL,2022-12-25 00:35:51,-8.9266,125.4092,64.6,92,100,2.82,overcast clouds
170,Port Alfred,ZA,2022-12-25 00:35:52,-33.5906,26.891,65.17,81,100,8.01,light rain
171,Severo-Kurilsk,RU,2022-12-25 00:35:52,50.6789,156.125,34.36,98,100,32.75,snow
172,Mae Chan,TH,2022-12-25 00:35:52,20.1467,99.8526,67.23,93,83,0.76,broken clouds
173,Capitao Poco,BR,2022-12-25 00:35:53,-1.7464,-47.0594,72.9,96,100,4.0,overcast clouds
174,Saint-Raymond,CA,2022-12-25 00:35:54,45.467,-73.6095,18.91,66,100,32.21,overcast clouds
175,Lebu,CL,2022-12-25 00:35:54,-37.6167,-73.65,61.48,69,4,23.22,clear sky
176,Kirakira,SB,2022-12-25 00:35:55,-10.4544,161.9205,85.71,69,42,10.25,scattered clouds
177,Port Augusta,AU,2022-12-25 00:35:55,-32.5,137.7667,88.56,30,0,1.68,clear sky
178,Meulaboh,ID,2022-12-25 00:35:56,4.1363,96.1285,75.27,91,100,6.26,overcast clouds
179,Sangmelima,CM,2022-12-25 00:35:56,2.9333,11.9833,71.69,81,100,1.63,overcast clouds
180,Geraldton,AU,2022-12-25 00:31:27,-28.7667,114.6,73.81,73,0,14.97,clear sky
181,Kavieng,PG,2022-12-25 00:35:57,-2.5744,150.7967,85.48,71,16,8.32,few clouds
182,Yinchuan,CN,2022-12-25 00:35:57,38.4681,106.2731,23.43,45,100,3.98,overcast clouds
183,Rundu,NA,2022-12-25 00:35:58,-17.9333,19.7667,68.4,61,12,4.94,few clouds
184,Kieta,PG,2022-12-25 00:35:58,-6.2167,155.6333,85.73,68,22,5.3,light rain
185,Tolbazy,RU,2022-12-25 00:35:59,54.0241,55.8825,14.36,79,10,12.8,clear sky
186,Novikovo,RU,2022-12-25 00:36:59,51.1537,37.8879,39.54,97,100,4.68,overcast clouds
187,Honiara,SB,2022-12-25 00:36:59,-9.4333,159.95,85.3,71,97,5.23,light rain
188,Gobabis,NA,2022-12-25 00:37:00,-22.45,18.9667,73.35,47,54,5.59,broken clouds
189,Katherine,AU,2022-12-25 00:37:00,-14.4667,132.2667,86.32,70,40,12.66,scattered clouds
190,Bethel,US,2022-12-25 00:37:01,41.3712,-73.414,13.77,59,0,6.91,clear sky
191,Emerald,AU,2022-12-25 00:36:30,-23.5333,148.1667,81.5,46,99,9.15,overcast clouds
